Date,Daily_kWh
01-01-2020,86.416
02-01-2020,63.504
03-01-2020,59.741
04-01-2020,62.251
05-01-2020,58.585
06-01-2020,53.004
07-01-2020,63.48
08-01-2020,52.463
10-01-2020,52.049
11-01-2020,58.857
12-01-2020,52.884
13-01-2020,62.78
15-01-2020,59.143
16-01-2020,59.792
17-01-2020,59.202
18-01-2020,60.417
19-01-2020,43.464
20-01-2020,66.504
21-01-2020,45.568
22-01-2020,50.769
23-01-2020,61.527
24-01-2020,57.982
25-01-2020,57.523
26-01-2020,52.236
27-01-2020,58.736
28-01-2020,57.225
29-01-2020,61.295
30-01-2020,57.203
31-01-2020,58.606
01-02-2020,60.675
02-02-2020,44.159
03-02-2020,62.536
04-02-2020,29.712
05-02-2020,48.045
06-02-2020,56.62
07-02-2020,30.803
08-02-2020,55.331
09-02-2020,58.224
10-02-2020,45.837
11-02-2020,52.415
12-02-2020,53.758
13-02-2020,49.513
14-02-2020,43.504
15-02-2020,46.702
16-02-2020,56.041
17-02-2020,47.04
18-02-2020,49.057
19-02-2020,47.274
20-02-2020,46.288
21-02-2020,48.452
22-02-2020,23.842
23-02-2020,26.039
24-02-2020,45.202
25-02-2020,39.108
26-02-2020,33.02
27-02-2020,42.238
28-02-2020,27.792
29-02-2020,42.474
01-03-2020,39.349
02-03-2020,31.45
03-03-2020,29.217
04-03-2020,32.999
05-03-2020,28.329
06-03-2020,27.626
07-03-2020,41.771
08-03-2020,38.137
09-03-2020,37.228
10-03-2020,41.792
11-03-2020,33.894
12-03-2020,19.595
13-03-2020,35.952
14-03-2020,31.77
15-03-2020,28.146
16-03-2020,32.052
17-03-2020,28.61
18-03-2020,32.35
19-03-2020,29.433
20-03-2020,32.395
21-03-2020,31.855
22-03-2020,35.364
23-03-2020,31.274
24-03-2020,29.413
25-03-2020,33.981
26-03-2020,37.702
27-03-2020,32.998
28-03-2020,31.662
29-03-2020,30.763
30-03-2020,33.99
31-03-2020,34.652
01-04-2020,34.088
02-04-2020,35.109
03-04-2020,37.197
04-04-2020,32.798
05-04-2020,30.497
06-04-2020,40.344
07-04-2020,39.446
08-04-2020,39.953
09-04-2020,30.333
10-04-2020,29.705
11-04-2020,31.029
12-04-2020,30.739
13-04-2020,32.137
14-04-2020,34.752
15-04-2020,35.149
16-04-2020,35.789
17-04-2020,27.728
18-04-2020,41.974
19-04-2020,32.059
20-04-2020,33.468
21-04-2020,31.964
22-04-2020,31.765
23-04-2020,33.529
24-04-2020,35.797
25-04-2020,37.672
26-04-2020,28.657
27-04-2020,25.683
28-04-2020,26.369
29-04-2020,28.334
30-04-2020,30.048
01-05-2020,48.231
02-05-2020,33.108
03-05-2020,45.296
04-05-2020,46.196
05-05-2020,44.923
06-05-2020,31.924
08-05-2020,33.388
09-05-2020,35.942
10-05-2020,28.916
11-05-2020,31.726
12-05-2020,32.808
13-05-2020,38.249
16-05-2020,36.464
17-05-2020,41.148
18-05-2020,45.578
19-05-2020,46.032
20-05-2020,44.657
21-05-2020,43.544
22-05-2020,47.885
23-05-2020,50.437
24-05-2020,69.075
25-05-2020,70.347
26-05-2020,47.227
27-05-2020,60.275
28-05-2020,63.062
29-05-2020,62.228
30-05-2020,72.29
31-05-2020,48.707
01-06-2020,48.837
02-06-2020,49.167
03-06-2020,55.799
04-06-2020,46.818
05-06-2020,45.614
06-06-2020,50.703
07-06-2020,82.269
08-06-2020,76.462
09-06-2020,84.933
10-06-2020,93.01
11-06-2020,69.285
12-06-2020,103.284
13-06-2020,83.914
14-06-2020,74.724
15-06-2020,77.059
16-06-2020,84.311
17-06-2020,69.482
18-06-2020,73.608
19-06-2020,76.129
20-06-2020,86.604
21-06-2020,85.256
22-06-2020,88.173
23-06-2020,79.969
24-06-2020,68.6
25-06-2020,61.403
26-06-2020,59.8
27-06-2020,74.695
28-06-2020,87.091
29-06-2020,66.299
30-06-2020,72.473
01-07-2020,76.749
02-07-2020,84.305
03-07-2020,57.045
04-07-2020,63.828
05-07-2020,71.368
06-07-2020,76.194
07-07-2020,55.04
08-07-2020,54.527
09-07-2020,63.404
10-07-2020,61.733
11-07-2020,60.658
12-07-2020,60.296
13-07-2020,65.647
14-07-2020,71.801
15-07-2020,66.392
16-07-2020,84.757
17-07-2020,78.986
18-07-2020,108.413
19-07-2020,116.272
20-07-2020,90.245
21-07-2020,70.754
22-07-2020,62.909
23-07-2020,65.096
24-07-2020,62.333
25-07-2020,55.976
26-07-2020,77.911
27-07-2020,72.343
28-07-2020,50.017
29-07-2020,54.435
30-07-2020,43.723
31-07-2020,38.079
01-08-2020,62.642
02-08-2020,77.646
03-08-2020,68.317
04-08-2020,71.047
05-08-2020,72.893
06-08-2020,77.238
07-08-2020,90.312
08-08-2020,89.623
09-08-2020,68.213
10-08-2020,60.126
11-08-2020,73.058
12-08-2020,70.595
13-08-2020,51.899
14-08-2020,63.663
15-08-2020,100.94
16-08-2020,76.933
17-08-2020,89.369
18-08-2020,91.1
19-08-2020,75.54
20-08-2020,66.645
21-08-2020,71.724
22-08-2020,70.556
23-08-2020,66.578
24-08-2020,54.588
25-08-2020,81.523
26-08-2020,79.777
27-08-2020,63.206
28-08-2020,64.935
29-08-2020,76.868
30-08-2020,78.951
31-08-2020,69.03
01-09-2020,64.359
02-09-2020,68.04
03-09-2020,68.582
04-09-2020,68.989
05-09-2020,68.439
06-09-2020,68.823
07-09-2020,73.817
08-09-2020,76.777
09-09-2020,76.006
10-09-2020,77.486
11-09-2020,74.772
12-09-2020,68.739
13-09-2020,71.719
17-09-2020,67.343
18-09-2020,69.457
20-09-2020,39.241
21-09-2020,58.088
22-09-2020,58.39
23-09-2020,45.76
24-09-2020,43.043
25-09-2020,49.202
26-09-2020,49.916
27-09-2020,54.398
28-09-2020,53.835
29-09-2020,48.227
30-09-2020,51.664
01-10-2020,52.58
02-10-2020,57.733
03-10-2020,58.11
04-10-2020,60.14
05-10-2020,40.489
06-10-2020,39.306
07-10-2020,39.508
08-10-2020,33.826
09-10-2020,38.158
10-10-2020,40.992
11-10-2020,42.845
12-10-2020,38.416
13-10-2020,37.484
14-10-2020,35.918
15-10-2020,33.822
16-10-2020,34.196
17-10-2020,34.77
18-10-2020,35.46
19-10-2020,32.356
20-10-2020,34.601
21-10-2020,26.927
22-10-2020,26.351
23-10-2020,21.985
24-10-2020,30.636
25-10-2020,33.021
26-10-2020,27.681
27-10-2020,23.855
28-10-2020,22.962
29-10-2020,21.386
30-10-2020,22.582
31-10-2020,29.889
01-11-2020,27.232
02-11-2020,28.836
03-11-2020,28.026
04-11-2020,28.926
05-11-2020,22.651
06-11-2020,25.65
07-11-2020,22.141
08-11-2020,22.587
09-11-2020,24.619
10-11-2020,27.545
11-11-2020,25.635
12-11-2020,24.347
13-11-2020,39.592
14-11-2020,44.343
15-11-2020,36.785
16-11-2020,42.576
17-11-2020,35.599
18-11-2020,28.565
19-11-2020,22.901
20-11-2020,26.3
21-11-2020,28.05
22-11-2020,21.533
23-11-2020,27.165
24-11-2020,26.254
25-11-2020,30.846
26-11-2020,33.037
27-11-2020,32.612
28-11-2020,31.377
29-11-2020,19.587
30-11-2020,27.948
01-12-2020,25.216
02-12-2020,25.952
03-12-2020,26.271
04-12-2020,24.49
05-12-2020,22.508
06-12-2020,25.697
07-12-2020,22.743
08-12-2020,23.628
09-12-2020,27.299
10-12-2020,28.769
11-12-2020,30.076
12-12-2020,27.284
13-12-2020,25.793
14-12-2020,27.975
15-12-2020,29.133
16-12-2020,26.573
17-12-2020,29.909
18-12-2020,32.274
19-12-2020,30.35
20-12-2020,49.645
21-12-2020,60.239
22-12-2020,16.549
23-12-2020,27.303
24-12-2020,23.657
25-12-2020,24.519
26-12-2020,25.784
27-12-2020,28.432
28-12-2020,27.71
29-12-2020,29.232
30-12-2020,31.109
31-12-2020,32.869
